chain,start,end,change,percent change
flanigans,24,24,0,0.000000
flanigans,275,308,33,0.120000
flanigans,2570,2579,9,0.003502
flanigans,11,11,0,0.000000
flanigans,743,779,36,0.048452
flanigans,1,1,0,0.000000
flanigans,21,21,0,0.000000
sonic,3,3,0,0.000000
sonic,152,157,5,0.032895
sonic,235,235,0,0.000000
sonic,352,381,29,0.082386
sonic,675,820,145,0.214815
sonic,188,199,11,0.058511
sonic,760,773,13,0.017105
sonic,538,563,25,0.046468
sonic,407,408,1,0.002457
sonic,768,811,43,0.055990
sonic,4,4,0,0.000000
sonic,7,7,0,0.000000
sonic,2410,2470,60,0.024896
sonic,649,675,26,0.040062
sonic,880,898,18,0.020455
sonic,473,488,15,0.031712
sonic,392,431,39,0.099490
sonic,20,20,0,0.000000
sonic,496,533,37,0.074597
sonic,118,126,8,0.067797
sonic,1,1,0,0.000000
sonic,1832,1931,99,0.054039
sonic,1617,1682,65,0.040198
sonic,1730,1808,78,0.045087
sonic,716,738,22,0.030726
sonic,1355,1409,54,0.039852
sonic,525,572,47,0.089524
sonic,1449,1499,50,0.034507
sonic,1324,1342,18,0.013595
sonic,570,594,24,0.042105
sonic,2197,2278,81,0.036868
sonic,333,333,0,0.000000
sonic,740,770,30,0.040541
sonic,182,221,39,0.214286
sonic,35,35,0,0.000000
sonic,385,387,2,0.005195
sonic,33,33,0,0.000000
sonic,15,15,0,0.000000
sonic,6,6,0,0.000000
sonic,9,9,0,0.000000
sonic,4,4,0,0.000000
sonic,15,15,0,0.000000
sonic,6,6,0,0.000000
sonic,34,34,0,0.000000
sonic,5,7,2,0.400000
sonic,258,258,0,0.000000
sonic,261,264,3,0.011494
sonic,1948,2010,62,0.031828
sonic,1864,1905,41,0.021996
sonic,1530,1574,44,0.028758
sonic,287,320,33,0.114983
sonic,7,7,0,0.000000
sonic,3193,3266,73,0.022863
sonic,10,10,0,0.000000
sonic,15,15,0,0.000000
sonic,869,918,49,0.056387
sonic,507,532,25,0.049310
sonic,195,197,2,0.010256
sonic,92,110,18,0.195652
sonic,201,208,7,0.034826
sonic,110,117,7,0.063636
sonic,2284,2332,48,0.021016
sonic,899,942,43,0.047831
sonic,595,635,40,0.067227
sonic,295,307,12,0.040678
sonic,835,864,29,0.034731
sonic,1076,1107,31,0.028810
sonic,587,599,12,0.020443
sonic,224,237,13,0.058036
sonic,120,120,0,0.000000
sonic,904,963,59,0.065265
sonic,277,283,6,0.021661
sonic,252,264,12,0.047619
sonic,1323,1369,46,0.034769
sonic,1209,1231,22,0.018197
sonic,424,442,18,0.042453
sonic,8,8,0,0.000000
sonic,287,287,0,0.000000
sonic,1112,1145,33,0.029676
sonic,727,755,28,0.038514
sonic,380,382,2,0.005263
sonic,371,426,55,0.148248
sonic,683,725,42,0.061493
sonic,122,150,28,0.229508
sonic,189,207,18,0.095238
sonic,298,318,20,0.067114
sonic,304,304,0,0.000000
sonic,552,571,19,0.034420
sonic,8,8,0,0.000000
sonic,183,189,6,0.032787
sonic,526,568,42,0.079848
sonic,83,83,0,0.000000
sonic,857,876,19,0.022170
sonic,580,589,9,0.015517
sonic,2,2,0,0.000000
sonic,684,703,19,0.027778
sonic,962,993,31,0.032225
sonic,20,33,13,0.650000
sonic,563,585,22,0.039076
sonic,800,823,23,0.028750
sonic,403,425,22,0.054591
sonic,75,75,0,0.000000
sonic,223,234,11,0.049327
sonic,10,10,0,0.000000
sonic,345,345,0,0.000000
sonic,24,24,0,0.000000
sonic,701,725,24,0.034237
sonic,899,910,11,0.012236
sonic,4,4,0,0.000000
sonic,36,36,0,0.000000
sonic,64,64,0,0.000000
sonic,353,355,2,0.005666
sonic,4961,5153,192,0.038702
sonic,7404,7470,66,0.008914
sonic,1791,1869,78,0.043551
sonic,214,301,87,0.406542
sonic,3300,3345,45,0.013636
sonic,3430,3643,213,0.062099
sonic,3,3,0,0.000000
sonic,6,6,0,0.000000
sonic,2874,2982,108,0.037578
sonic,4,4,0,0.000000
sonic,49,49,0,0.000000
sonic,1,1,0,0.000000
sonic,1,1,0,0.000000
sonic,1,1,0,0.000000
sonic,110,110,0,0.000000
sonic,7,7,0,0.000000
sonic,6,6,0,0.000000
sonic,1,1,0,0.000000
sonic,293,304,11,0.037543
sonic,9,9,0,0.000000
sonic,3,3,0,0.000000
sonic,274,289,15,0.054745
sonic,260,272,12,0.046154
sonic,689,742,53,0.076923
sonic,492,535,43,0.087398
sonic,205,207,2,0.009756
sonic,503,503,0,0.000000
sonic,316,353,37,0.117089
sonic,634,663,29,0.045741
sonic,68,69,1,0.014706
sonic,108,133,25,0.231481
sonic,1,1,0,0.000000
sonic,204,204,0,0.000000
sonic,4139,4288,149,0.035999
sonic,1705,1767,62,0.036364
sonic,2619,2752,133,0.050783
sonic,2748,2856,108,0.039301
sonic,5247,5440,193,0.036783
sonic,2503,2624,121,0.048342
sonic,2321,2478,157,0.067643
sonic,2749,2847,98,0.035649
sonic,6220,6436,216,0.034727
sonic,2060,2169,109,0.052913
sonic,4264,4416,152,0.035647
sonic,4481,4645,164,0.036599
sonic,1614,1743,129,0.079926
sonic,165,165,0,0.000000
sonic,4603,4787,184,0.039974
sonic,2547,2616,69,0.027091
sonic,1512,1582,70,0.046296
sonic,2012,2094,82,0.040755
sonic,4566,4756,190,0.041612
sonic,3047,3155,108,0.035445
sonic,1675,1720,45,0.026866
sonic,2526,2569,43,0.017023
sonic,2926,3065,139,0.047505
sonic,2057,2137,80,0.038892
sonic,2988,3112,124,0.041499
sonic,3432,3603,171,0.049825
sonic,2597,2713,116,0.044667
sonic,1621,1660,39,0.024059
sonic,2036,2125,89,0.043713
sonic,2188,2333,145,0.066271
sonic,257,284,27,0.105058
sonic,877,909,32,0.036488
sonic,273,284,11,0.040293
sonic,1,1,0,0.000000
sonic,865,940,75,0.086705
sonic,166,190,24,0.144578
sonic,97,109,12,0.123711
sonic,94,111,17,0.180851
sonic,169,178,9,0.053254
sonic,64,74,10,0.156250
sonic,88,88,0,0.000000
sonic,51,52,1,0.019608
sonic,19,21,2,0.105263
sonic,2771,2848,77,0.027788
sonic,773,805,32,0.041397
sonic,29,29,0,0.000000
sonic,7,7,0,0.000000
sonic,381,426,45,0.118110
sonic,80,80,0,0.000000
sonic,159,159,0,0.000000
sonic,427,435,8,0.018735
sonic,218,220,2,0.009174
sonic,169,169,0,0.000000
sonic,43,43,0,0.000000
sonic,156,156,0,0.000000
sonic,50,56,6,0.120000
sonic,390,434,44,0.112821
sonic,486,534,48,0.098765
sonic,1815,1924,109,0.060055
sonic,3141,3250,109,0.034702
sonic,690,709,19,0.027536
sonic,276,278,2,0.007246
sonic,1,1,0,0.000000
sonic,1464,1554,90,0.061475
sonic,2,2,0,0.000000
sonic,3,3,0,0.000000
sonic,1539,1597,58,0.037687
sonic,23,23,0,0.000000
sonic,12,12,0,0.000000
sonic,19,19,0,0.000000
sonic,1,1,0,0.000000
sonic,24,24,0,0.000000
sonic,3,3,0,0.000000
sonic,259,281,22,0.084942
sonic,2,2,0,0.000000
sonic,10,10,0,0.000000
sonic,35,35,0,0.000000
sonic,1655,1724,69,0.041692
sonic,439,449,10,0.022779
sonic,1085,1115,30,0.027650
sonic,1895,1933,38,0.020053
sonic,5,5,0,0.000000
sonic,858,900,42,0.048951
sonic,1339,1370,31,0.023152
sonic,275,335,60,0.218182
sonic,723,748,25,0.034578
sonic,1145,1171,26,0.022707
sonic,383,385,2,0.005222
sonic,604,627,23,0.038079
sonic,998,1023,25,0.025050
sonic,986,1002,16,0.016227
sonic,826,860,34,0.041162
sonic,8,8,0,0.000000
sonic,2,2,0,0.000000
sonic,820,845,25,0.030488
sonic,1,1,0,0.000000
sonic,648,656,8,0.012346
sonic,1655,1732,77,0.046526
sonic,1656,1711,55,0.033213
sonic,1580,1666,86,0.054430
sonic,1151,1195,44,0.038228
sonic,527,549,22,0.041746
sonic,608,636,28,0.046053
sonic,190,196,6,0.031579
sonic,1281,1330,49,0.038251
sonic,481,516,35,0.072765
sonic,587,629,42,0.071550
sonic,1081,1117,36,0.033302
sonic,467,475,8,0.017131
sonic,722,752,30,0.041551
sonic,1669,1711,42,0.025165
sonic,656,687,31,0.047256
sonic,308,308,0,0.000000
sonic,555,588,33,0.059459
sonic,82,82,0,0.000000
sonic,1558,1602,44,0.028241
sonic,4,4,0,0.000000
sonic,8,21,13,1.625000
sonic,3,3,0,0.000000
sonic,9,9,0,0.000000
sonic,204,212,8,0.039216
sonic,11,11,0,0.000000
sonic,32,34,2,0.062500
sonic,96,97,1,0.010417
sonic,98,109,11,0.112245
sonic,137,137,0,0.000000
sonic,485,501,16,0.032990
sonic,926,952,26,0.028078
sonic,665,690,25,0.037594
sonic,2126,2234,108,0.050800
sonic,5,5,0,0.000000
sonic,761,798,37,0.048620
sonic,913,961,48,0.052574
sonic,571,622,51,0.089317
sonic,31,31,0,0.000000
sonic,1794,1687,-107,-0.059643
sonic,814,841,27,0.033170
sonic,227,287,60,0.264317
sonic,677,697,20,0.029542
sonic,738,739,1,0.001355
sonic,95,95,0,0.000000
sonic,21,83,62,2.952381
sonic,292,297,5,0.017123
sonic,85,89,4,0.047059
sonic,188,192,4,0.021277
sonic,267,279,12,0.044944
sonic,84,99,15,0.178571
sonic,7,7,0,0.000000
sonic,521,553,32,0.061420
sonic,38,38,0,0.000000
sonic,5,5,0,0.000000
sonic,5,5,0,0.000000
sonic,318,331,13,0.040881
sonic,498,539,41,0.082329
sonic,124,141,17,0.137097
sonic,325,368,43,0.132308
sonic,346,364,18,0.052023
sonic,1,1,0,0.000000
sonic,254,258,4,0.015748
sonic,114,125,11,0.096491
sonic,343,365,22,0.064140
sonic,418,462,44,0.105263
sonic,316,381,65,0.205696
sonic,7,7,0,0.000000
sonic,438,509,71,0.162100
sonic,1,1,0,0.000000
sonic,328,350,22,0.067073
sonic,28,28,0,0.000000
sonic,6,6,0,0.000000
sonic,577,601,24,0.041594
sonic,7,9,2,0.285714
sonic,702,743,41,0.058405
sonic,637,666,29,0.045526
sonic,345,420,75,0.217391
sonic,324,341,17,0.052469
sonic,1,1,0,0.000000
sonic,2,2,0,0.000000
sonic,237,238,1,0.004219
sonic,360,409,49,0.136111
sonic,321,334,13,0.040498
sonic,279,298,19,0.068100
sonic,573,600,27,0.047120
sonic,236,241,5,0.021186
sonic,438,465,27,0.061644
sonic,841,888,47,0.055886
sonic,579,587,8,0.013817
sonic,8,8,0,0.000000
sonic,423,514,91,0.215130
sonic,1532,1578,46,0.030026
sonic,762,797,35,0.045932
sonic,1516,1546,30,0.019789
sonic,351,356,5,0.014245
sonic,1530,1566,36,0.023529
sonic,763,770,7,0.009174
sonic,960,993,33,0.034375
sonic,2447,2477,30,0.012260
sonic,347,352,5,0.014409
sonic,1,1,0,0.000000
sonic,13,14,1,0.076923
sonic,469,494,25,0.053305
sonic,8,8,0,0.000000
sonic,22,22,0,0.000000
sonic,19,19,0,0.000000
sonic,17,18,1,0.058824
sonic,1743,1817,74,0.042456
sonic,1412,1490,78,0.055241
sonic,2078,2129,51,0.024543
sonic,1235,1275,40,0.032389
sonic,2339,2432,93,0.039761
sonic,1357,1445,88,0.064849
sonic,1361,1405,44,0.032329
sonic,1291,1350,59,0.045701
sonic,1192,1231,39,0.032718
sonic,1867,1922,55,0.029459
sonic,1532,1608,76,0.049608
